rf,html_text,description
ari,"[8, nan, 9, nan, 14, 14, 14, 9, nan, nan, 13, 9, 6, nan, 7, nan, 9, nan, 12, 12, nan, 13, 10, 14, 9, 14, 7, 9, nan, 10, 13, 10, 14, nan, 12, 14, 11, 12, 14, nan, nan, 12, 8, nan, 8, 13, nan, 7, 11, 14, nan, nan, 7, nan, 5, 14, 9, 7, nan, 10, 13, 10, 10, 10, 10, 8, 9, 11, nan, 14, nan, 14, nan, 8, nan, nan, nan, 14, 14, nan, 11, 10, nan, 7, 11, nan, 9, nan, 9, 11, 11, 9, 12, 12, 8, nan, nan, 13, 12, 11, nan, nan, nan, nan, nan, 14, 14, 13, 14, nan, nan, 11, nan, nan, 14, 12, 14, 14, 14, 13, 13, 12, 14, 14, 13, 14, 11, 13, 12, nan, nan, 8, 7, nan, 7, 12, nan, 14, 14, 14, nan, 10, 14, 10, nan, 14, 14, 11, 12, 14, 12, 14, nan, 14, 9, 8, 13, 8, 14, nan, 9, nan, 11, 14, nan, 14, 9, 11, 14, 14, 14, 6, nan, 10, 12, 10, nan, nan, 9, 13, 14, 13, 13, 11, 11, 12, nan, 14, 14, 14, 14, 14, 12, nan, 14, 14, 1, 14, nan, 10, nan, 8, 14, 13, nan, nan, 8, 11, 9, nan, 14, 12, nan, 11, nan, nan]","[12, 5, 14, 14, nan, nan, 7, 1, 13, 1, 9, 8, 14, 5, 8, 14, 14, 13, 10, 14, 14, 14, 14, 14, nan, 6, 14, 4, 3, 8, 14, 9, 9, 14, 6, 14, 10, 7, 14, 14, 8, 8, nan, 14, 14, 11, 12, nan, 10, nan, nan, 14, 7, 10, 7, 1, 6, 8, 6, nan, nan, 6, 14, 14, 8, 10, 6, nan, 11, 14, nan, 14, 13, 8, 14, nan, nan, 10, 14, 14, 7, 9, 7, 4, 8, 9, 7, 14, 3, nan, nan, 14, 1, 9, 14, 14, 4, 11, 13, 14, 10, 13, 6, 8, 14, 14, nan, 14, 10, 9, nan, 14, 14, nan, 4, 6, 8, 8, 14, 8, 14, 11, nan, nan, 10, 11, 14, 14, 14, 8, 4, 14, 14, 4, nan, 11, 14, 14, nan, 7, nan, 11, 13, 7, 14, 10, 9, 12, 9, 14, 12, 10, 14, 14, 7, 6, 6, 7, 8, 14, 8, 9, 14, nan, 14, 14, nan, 14, nan, 14, 14, 7, 6, 7, 9, 14, nan, 14, 14, 13, 14, 14, 1, 8, 14, 14, 14, nan, nan, 12, 10, 14, 12, 14, 14, 14, 14, 11, 14, 14, 14, 14, 14, 14, 10, 14, 14, 13, 6, nan, 7, 11, 14, 11, 14, 8]"
dale_chall,"[14, nan, 11, nan, 14, 14, 13, 14, nan, nan, 13, 13, 14, nan, 13, nan, 13, nan, 13, 13, nan, 13, 11, 14, 11, 14, 14, 11, nan, 11, 13, 13, 14, nan, 13, 14, 13, 13, 14, nan, nan, 13, 13, nan, 11, 14, nan, 13, 14, 14, nan, nan, 11, nan, 7, 14, 11, 11, nan, 9, 11, 13, 11, 11, 11, 11, 13, 11, nan, 14, nan, 14, nan, 14, nan, nan, nan, 14, 14, nan, 13, 13, nan, 11, 13, nan, 11, nan, 11, 9, 9, 13, 11, 9, 11, nan, nan, 14, 13, 14, nan, nan, nan, nan, nan, 14, 14, 14, 13, nan, nan, 13, nan, nan, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 11, 13, 14, nan, nan, 11, 7, nan, 11, 13, nan, 14, 13, 14, nan, 11, 1, 13, nan, 14, 14, 11, 14, 14, 13, 14, nan, 14, 11, 11, 13, 13, 13, nan, 11, nan, 13, 14, nan, 11, 9, 11, 14, 11, 14, 11, nan, 13, 14, 14, nan, nan, 14, 13, 14, 14, 13, 13, 14, 14, nan, 14, 14, 14, 14, 14, 14, nan, 14, 14, 1, 14, nan, 14, nan, 13, 11, 14, nan, nan, 11, 13, 11, nan, 14, 14, nan, 14, nan, nan]","[14, 11, 14, 13, nan, nan, 14, 14, 14, 14, 11, 14, 14, 14, 11, 14, 14, 14, 14, 14, 14, 14, 14, 14, nan, 13, 14, 14, 14, 11, 14, 14, 14, 14, 11, 14, 13, 14, 14, 14, 11, 9, nan, 14, 14, 14, 14, nan, 14, nan, nan, 14, 9, 14, 14, 14, 14, 13, 14, nan, nan, 11, 14, 14, 14, 14, 14, nan, 14, 14, nan, 14, 14, 14, 14, nan, nan, 14, 14, 14, 13, 13, 11, 13, 14, 14, 13, 14, 13, nan, nan, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 13, 14, 14, 14, nan, 14, 14, 14, nan, 14, 14, nan, 14, 14, 14, 14, 14, 14, 14, 14, nan, nan, 14, 14, 14, 14, 14, 14, 11, 14, 14, 14, nan, 14, 14, 14, nan, 14, nan, 9, 13, 13, 14, 13, 14, 11, 14, 14, 13, 14, 14, 14, 14, 13, 14, 14, 9, 13, 14, 14, 14, nan, 14, 14, nan, 14, nan, 11, 14, 11, 14, 14, 14, 14, nan, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, nan, nan, 14, 14, 14, 14, 14, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 11, 13, nan, 14, 14, 14, 14, 14, 14]"
flesch,"[10, nan, 8, nan, 13, 13, 10, 10, nan, nan, 13, 10, 10, nan, 8, nan, 10, nan, 13, 13, nan, 10, 10, 14, 8, 13, 8, 8, nan, 8, 13, 8, 13, nan, 13, 13, 10, 10, 13, nan, nan, 10, 10, nan, 8, 13, nan, 8, 13, 13, nan, nan, 8, nan, 7, 14, 8, 7, nan, 8, 13, 10, 10, 8, 10, 8, 8, 10, nan, 14, nan, 13, nan, 7, nan, nan, nan, 14, 13, nan, 13, 10, nan, 8, 13, nan, 10, nan, 10, 10, 10, 10, 10, 10, 8, nan, nan, 13, 13, 10, nan, nan, nan, nan, nan, 13, 14, 13, 13, nan, nan, 10, nan, nan, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 10, 13, 13, nan, nan, 8, 7, nan, 8, 10, nan, 13, 13, 13, nan, 10, 14, 10, nan, 14, 13, 10, 13, 14, 13, 13, nan, 13, 8, 8, 13, 8, 13, nan, 8, nan, 10, 14, nan, 14, 8, 13, 13, 13, 13, 8, nan, 10, 13, 10, nan, nan, 10, 13, 13, 13, 10, 10, 10, 13, nan, 14, 14, 14, 14, 14, 13, nan, 14, 14, 6, 14, nan, 13, nan, 13, 10, 13, nan, nan, 7, 10, 8, nan, 14, 13, nan, 10, nan, nan]","[8, 8, 6, 13, nan, nan, 7, 6, 10, 6, 10, 8, 10, 8, 7, 13, 13, 10, 8, 13, 14, 14, 6, 14, nan, 7, 13, 7, 7, 8, 13, 8, 7, 13, 6, 13, 13, 6, 14, 14, 10, 7, nan, 14, 14, 13, 13, nan, 8, nan, nan, 13, 6, 13, 8, 6, 7, 7, 6, nan, nan, 8, 14, 7, 8, 10, 7, nan, 8, 13, nan, 14, 13, 13, 14, nan, nan, 10, 14, 13, 10, 13, 8, 5, 10, 14, 7, 6, 7, nan, nan, 6, 6, 8, 5, 13, 6, 14, 8, 13, 8, 13, 8, 10, 13, 14, nan, 14, 8, 10, nan, 14, 14, nan, 8, 6, 10, 8, 14, 10, 14, 13, nan, nan, 13, 13, 13, 13, 13, 13, 7, 14, 13, 7, nan, 10, 5, 10, nan, 10, nan, 13, 13, 8, 13, 13, 10, 14, 13, 13, 13, 10, 8, 14, 7, 7, 8, 5, 7, 8, 8, 7, 13, nan, 14, 14, nan, 14, nan, 14, 14, 7, 10, 8, 14, 14, nan, 14, 13, 13, 10, 14, 5, 8, 14, 14, 13, nan, nan, 14, 14, 13, 13, 13, 14, 13, 14, 14, 6, 14, 10, 14, 13, 14, 8, 14, 7, 8, 8, nan, 10, 8, 13, 13, 14, 13]"
coleman_liau,"[7, nan, 8, nan, 13, 13, 11, 12, nan, nan, 13, 11, 9, nan, 9, nan, 9, nan, 12, 12, nan, 12, 10, 4, 10, 13, 10, 9, nan, 11, 12, 9, 13, nan, 12, 13, 11, 11, 11, nan, nan, 10, 11, nan, 10, 14, nan, 7, 13, 12, nan, nan, 9, nan, 7, 14, 10, 8, nan, 9, 14, 11, 10, 9, 10, 9, 8, 10, nan, 14, nan, 14, nan, 12, nan, nan, nan, 14, 13, nan, 12, 11, nan, 9, 11, nan, 8, nan, 9, 12, 12, 11, 12, 11, 10, nan, nan, 12, 11, 13, nan, nan, nan, nan, nan, 13, 14, 13, 12, nan, nan, 10, nan, nan, 14, 13, 14, 14, 14, 14, 14, 14, 13, 13, 12, 14, 11, 14, 12, nan, nan, 10, 9, nan, 7, 9, nan, 12, 11, 11, nan, 10, 14, 9, nan, 14, 13, 12, 11, 14, 12, 13, nan, 13, 10, 9, 12, 10, 13, nan, 10, nan, 13, 14, nan, 12, 9, 12, 14, 13, 14, 8, nan, 11, 10, 10, nan, nan, 10, 12, 14, 12, 10, 10, 11, 12, nan, 14, 14, 14, 14, 14, 13, nan, 14, 14, 4, 14, nan, 11, nan, 12, 12, 13, nan, nan, 9, 12, 9, nan, 14, 13, nan, 12, nan, nan]","[14, 8, 2, 12, nan, nan, 8, 2, 14, 5, 10, 11, 6, 8, 10, 14, 13, 9, 13, 11, 14, 14, 1, 14, nan, 9, 11, 7, 5, 10, 14, 7, 11, 9, 5, 10, 13, 8, 14, 14, 9, 9, nan, 14, 14, 13, 14, nan, 4, nan, nan, 11, 8, 10, 9, 3, 6, 10, 8, nan, nan, 9, 14, 3, 10, 13, 9, nan, 8, 8, nan, 14, 14, 11, 14, nan, nan, 12, 14, 10, 9, 12, 9, 6, 9, 12, 8, 1, 5, nan, nan, 1, 2, 11, 14, 12, 7, 14, 10, 11, 13, 14, 9, 12, 14, 14, nan, 14, 12, 7, nan, 14, 14, nan, 6, 7, 10, 10, 14, 10, 14, 14, nan, nan, 12, 14, 11, 12, 8, 10, 6, 0, 14, 6, nan, 4, 2, 11, nan, 10, nan, 10, 14, 9, 8, 12, 11, 14, 10, 12, 14, 12, 12, 14, 8, 6, 7, 7, 11, 10, 10, 7, 14, nan, 14, 14, nan, 14, nan, 14, 14, 9, 10, 10, 12, 14, nan, 14, 14, 12, 12, 14, 4, 9, 14, 13, 14, nan, nan, 14, 13, 12, 14, 11, 14, 14, 14, 14, 14, 14, 8, 14, 12, 14, 12, 14, 2, 10, 9, nan, 10, 7, 14, 14, 14, 10]"
flesch_kincaid,"[10, nan, 8, nan, 13, 13, 12, 9, nan, nan, 12, 9, 8, nan, 7, nan, 10, nan, 11, 11, nan, 11, 10, 14, 8, 12, 6, 8, nan, 9, 11, 10, 13, nan, 11, 14, 10, 10, 13, nan, nan, 10, 8, nan, 7, 12, nan, 8, 11, 14, nan, nan, 7, nan, 5, 14, 8, 6, nan, 9, 11, 9, 10, 10, 9, 8, 8, 10, nan, 14, nan, 14, nan, 5, nan, nan, nan, 14, 12, nan, 11, 10, nan, 8, 11, nan, 10, nan, 10, 9, 9, 9, 10, 10, 8, nan, nan, 12, 11, 10, nan, nan, nan, nan, nan, 14, 13, 12, 12, nan, nan, 11, nan, nan, 14, 11, 13, 14, 14, 12, 12, 12, 13, 13, 13, 14, 10, 12, 11, nan, nan, 8, 6, nan, 7, 11, nan, 14, 14, 13, nan, 10, 14, 10, nan, 14, 14, 9, 12, 14, 11, 13, nan, 13, 8, 8, 12, 8, 13, nan, 8, nan, 10, 14, nan, 14, 9, 10, 14, 13, 14, 7, nan, 10, 12, 10, nan, nan, 9, 13, 13, 11, 12, 10, 11, 11, nan, 14, 14, 14, 14, 14, 12, nan, 14, 14, 3, 14, nan, 11, nan, 9, 12, 13, nan, nan, 7, 10, 9, nan, 14, 12, nan, 9, nan, nan]","[14, 6, 3, 12, nan, nan, 6, 3, 8, 3, 8, 7, 14, 7, 6, 11, 14, 12, 7, 13, 14, 14, 4, 14, nan, 5, 14, 4, 4, 8, 11, 10, 6, 14, 6, 14, 10, 5, 14, 14, 10, 6, nan, 14, 14, 9, 10, nan, 11, nan, nan, 13, 5, 8, 7, 4, 7, 5, 4, nan, nan, 5, 14, 5, 7, 8, 5, nan, 10, 14, nan, 14, 11, 9, 14, nan, nan, 8, 14, 14, 9, 10, 7, 3, 9, 13, 6, 4, 5, nan, nan, 2, 2, 8, 1, 14, 4, 12, 11, 13, 8, 10, 6, 8, 14, 14, nan, 12, 8, 10, nan, 14, 14, nan, 6, 5, 9, 7, 14, 9, 14, 11, nan, nan, 10, 10, 14, 14, 14, 11, 4, 1, 14, 5, nan, 13, 3, 12, nan, 8, nan, 11, 11, 7, 14, 12, 9, 14, 13, 13, 10, 9, 10, 14, 6, 6, 7, 4, 5, 11, 7, 8, 14, nan, 14, 14, nan, 14, nan, 14, 14, 6, 8, 7, 12, 14, nan, 14, 13, 12, 11, 14, 2, 8, 14, 14, 14, nan, nan, 13, 13, 14, 10, 14, 14, 14, 14, 12, 3, 14, 13, 14, 14, 14, 8, 14, 4, 10, 6, nan, 7, 10, 14, 10, 14, 12]"
gunning_fog,"[13, nan, 11, nan, 13, 13, 14, 9, nan, nan, 13, 9, 7, nan, 9, nan, 12, nan, 13, 13, nan, 13, 13, 14, 11, 13, 14, 11, nan, 11, 13, 11, 13, nan, 13, 14, 13, 13, 13, nan, nan, 13, 10, nan, 11, 13, nan, 10, 12, 14, nan, nan, 8, nan, 7, 14, 9, 8, nan, 12, 13, 12, 13, 13, 11, 10, 10, 12, nan, 14, nan, 13, nan, 8, nan, nan, nan, 14, 13, nan, 13, 13, nan, 11, 13, nan, 13, nan, 13, 11, 11, 11, 13, 13, 10, nan, nan, 12, 13, 11, nan, nan, nan, nan, nan, 14, 13, 13, 13, nan, nan, 13, nan, nan, 14, 13, 13, 13, 14, 13, 13, 13, 13, 13, 13, 9, 13, 13, 13, nan, nan, 11, 8, nan, 10, 12, nan, 14, 13, 13, nan, 12, 14, 11, nan, 14, 14, 11, 13, 14, 13, 13, nan, 13, 11, 10, 13, 10, 13, nan, 10, nan, 13, 14, nan, 13, 12, 13, 13, 13, 14, 10, nan, 12, 13, 11, nan, nan, 13, 13, 13, 13, 13, 13, 13, 13, nan, 14, 14, 14, 14, 14, 13, nan, 14, 14, 14, 14, nan, 13, nan, 12, 13, 14, nan, nan, 10, 11, 11, nan, 14, 13, nan, 11, nan, nan]","[14, 7, 14, 13, nan, nan, 10, 14, 14, 6, 10, 10, 14, 7, 11, 6, 14, 13, 14, 10, 10, 10, 6, 7, nan, 14, 11, 14, 7, 10, 12, 8, 14, 12, 7, 14, 11, 6, 14, 13, 10, 9, nan, 14, 14, 13, 13, nan, 12, nan, nan, 13, 7, 14, 8, 9, 8, 14, 7, nan, nan, 14, 14, 14, 13, 13, 10, nan, 11, 12, nan, 14, 14, 11, 14, nan, nan, 7, 14, 12, 13, 7, 10, 14, 8, 14, 8, 14, 7, nan, nan, 14, 7, 11, 14, 12, 14, 13, 13, 13, 6, 6, 7, 14, 14, 8, nan, 8, 10, 8, nan, 14, 10, nan, 14, 11, 8, 7, 14, 10, 14, 11, nan, nan, 13, 8, 14, 10, 12, 10, 11, 14, 9, 14, nan, 12, 14, 13, nan, 12, nan, 13, 10, 10, 13, 14, 10, 13, 14, 13, 13, 13, 10, 14, 6, 9, 13, 9, 8, 12, 11, 9, 14, nan, 14, 12, nan, 13, nan, 14, 14, 10, 7, 14, 13, 10, nan, 14, 13, 13, 9, 14, 14, 11, 14, 14, 14, nan, nan, 13, 13, 14, 10, 13, 13, 14, 14, 13, 14, 14, 13, 13, 13, 14, 10, 14, 14, 11, 8, nan, 11, 12, 14, 10, 14, 13]"
linsear_write,"[13, nan, 11, nan, 14, 14, 14, 8, nan, nan, 14, 8, 6, nan, 6, nan, 12, nan, 13, 13, nan, 14, 13, 14, 8, 14, 6, 11, nan, 11, 14, 13, 14, nan, 12, 14, 12, 12, 14, nan, nan, 13, 5, nan, 7, 12, nan, 10, 11, 14, nan, nan, 7, nan, 5, 0, 9, 7, nan, 12, 12, 10, 12, 13, 11, 8, 11, 13, nan, 14, nan, 14, nan, 4, nan, nan, nan, 14, 14, nan, 13, 12, nan, 8, 13, nan, 12, nan, 11, 10, 10, 8, 12, 12, 7, nan, nan, 14, 13, 10, nan, nan, nan, nan, nan, 14, 12, 13, 14, nan, nan, 13, nan, nan, 14, 13, 14, 14, 14, 12, 13, 12, 14, 14, 14, 8, 13, 14, 13, nan, nan, 8, 6, nan, 9, 14, nan, 14, 14, 14, nan, 12, 1, 12, nan, 14, 14, 11, 14, 14, 13, 14, nan, 14, 8, 8, 14, 7, 14, nan, 8, nan, 11, 14, nan, 14, 11, 11, 14, 14, 14, 7, nan, 11, 14, 11, nan, nan, 9, 14, 14, 13, 14, 13, 12, 12, nan, 14, 14, 14, 14, 14, 12, nan, 14, 14, 2, 14, nan, 11, nan, 6, 14, 14, nan, nan, 9, 11, 11, nan, 14, 13, nan, 12, nan, nan]","[14, 3, 4, 14, nan, nan, 8, 1, 5, 4, 8, 8, 14, 5, 8, 12, 14, 14, 8, 14, 8, 14, 4, 14, nan, 5, 14, 3, 4, 8, 14, 12, 7, 14, 8, 14, 8, 6, 14, 8, 8, 7, nan, 0, 14, 8, 8, nan, 14, nan, nan, 14, 8, 1, 7, 5, 8, 5, 4, nan, nan, 3, 0, 4, 9, 8, 5, nan, 13, 14, nan, 7, 6, 5, 0, nan, nan, 7, 0, 14, 9, 7, 8, 4, 8, 3, 7, 5, 5, nan, nan, 2, 1, 8, 2, 14, 4, 8, 14, 14, 7, 6, 5, 5, 14, 14, nan, 7, 8, 14, nan, 0, 14, nan, 4, 8, 8, 7, 0, 8, 0, 8, nan, nan, 8, 6, 14, 14, 14, 8, 5, 3, 14, 5, nan, 14, 4, 14, nan, 5, nan, 14, 8, 8, 14, 11, 7, 11, 13, 14, 7, 10, 14, 0, 8, 8, 9, 8, 4, 14, 8, 11, 14, nan, 14, 14, nan, 14, nan, 14, 14, 7, 4, 5, 9, 14, nan, 14, 14, 14, 14, 0, 4, 8, 0, 14, 14, nan, nan, 9, 8, 14, 7, 14, 14, 14, 14, 8, 1, 14, 14, 14, 14, 0, 7, 14, 2, 14, 4, nan, 5, 14, 14, 7, 14, 10]"
spache,"[7, nan, 6, nan, 7, 7, 7, 7, nan, nan, 7, 6, 7, nan, 7, nan, 6, nan, 7, 7, nan, 7, 6, 14, 6, 8, 10, 6, nan, 6, 7, 7, 8, nan, 7, 8, 7, 7, 8, nan, nan, 7, 5, nan, 5, 7, nan, 6, 7, 8, nan, nan, 6, nan, 5, 10, 6, 5, nan, 6, 7, 6, 6, 6, 6, 6, 6, 7, nan, 14, nan, 8, nan, 6, nan, nan, nan, 8, 8, nan, 7, 7, nan, 6, 7, nan, 6, nan, 7, 6, 6, 6, 6, 6, 5, nan, nan, 8, 7, 7, nan, nan, nan, nan, nan, 9, 7, 8, 7, nan, nan, 7, nan, nan, 9, 7, 8, 8, 8, 7, 7, 7, 7, 7, 7, 8, 6, 7, 7, nan, nan, 6, 5, nan, 6, 7, nan, 9, 9, 8, nan, 6, 4, 7, nan, 8, 8, 7, 8, 8, 7, 8, nan, 9, 6, 6, 7, 6, 8, nan, 6, nan, 6, 11, nan, 8, 5, 6, 9, 7, 8, 5, nan, 7, 8, 7, nan, nan, 7, 7, 9, 8, 8, 7, 7, 7, nan, 9, 9, 8, 8, 7, 7, nan, 8, 8, 1, 8, nan, 8, nan, 6, 7, 8, nan, nan, 6, 7, 6, nan, 10, 8, nan, 8, nan, nan]","[12, 5, 7, 7, nan, nan, 7, 5, 10, 7, 6, 8, 12, 6, 6, 11, 9, 10, 10, 13, 8, 10, 8, 12, nan, 6, 9, 6, 8, 6, 10, 11, 8, 12, 7, 8, 7, 8, 8, 7, 6, 5, nan, 10, 11, 9, 7, nan, 11, nan, nan, 9, 5, 7, 7, 6, 7, 7, 7, nan, nan, 5, 7, 8, 6, 8, 6, nan, 10, 12, nan, 11, 10, 8, 10, nan, nan, 7, 10, 12, 6, 7, 7, 6, 7, 7, 7, 6, 6, nan, nan, 7, 6, 8, 7, 10, 7, 7, 8, 9, 9, 10, 6, 7, 10, 12, nan, 10, 6, 11, nan, 10, 11, nan, 10, 9, 7, 7, 10, 8, 10, 8, nan, nan, 7, 7, 8, 10, 11, 9, 5, 7, 10, 8, nan, 11, 7, 9, nan, 9, nan, 6, 7, 6, 9, 6, 8, 7, 10, 9, 7, 9, 9, 10, 7, 6, 7, 8, 5, 9, 8, 11, 10, nan, 9, 10, nan, 11, nan, 8, 8, 5, 6, 7, 8, 9, nan, 9, 11, 8, 12, 10, 9, 7, 10, 8, 12, nan, nan, 8, 7, 8, 9, 9, 7, 9, 9, 9, 7, 8, 10, 11, 11, 10, 8, 12, 8, 7, 6, nan, 9, 9, 10, 8, 10, 9]"
smog,"[14, nan, 11, nan, nan, nan, nan, 13, nan, nan, 14, nan, nan, nan, 10, nan, 13, nan, 14, 14, nan, nan, 13, nan, 11, nan, nan, 11, nan, 12, 13, 12, 14, nan, 13, nan, 13, 12, 14, nan, nan, 12, nan, nan, nan, 14, nan, 11, nan, 14, nan, nan, nan, nan, nan, nan, 12, nan, nan, 12, nan, 12, 13, 12, 12, 11, 12, 13, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14, nan, 14, 13, nan, 11, 14, nan, 13, nan, 12, 11, 11, 12, 13, 13, 11, nan, nan, nan, 13, nan, nan, nan, nan, nan, nan, 14, nan, 14, 14, nan, nan, 13, nan, nan, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, nan, 13, 14, nan, nan, nan, nan, nan, nan, 10, 13, nan, 14, nan, 14, nan, 13, nan, 13, nan, 14, 14, nan, nan, 14, 14, 14, nan, 14, 11, 11, 14, 11, 14, nan, 11, nan, 13, nan, nan, 14, nan, 14, nan, nan, nan, nan, nan, nan, 14, 13, nan, nan, 12, 14, nan, 14, 14, 12, 13, 13, nan, nan, nan, 14, 14, 14, 14, nan, nan, 14, nan, 14, nan, 14, nan, nan, nan, nan, nan, nan, 11, 12, 11, nan, nan, 14, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
